id,property_name,site_name,unit_type,quantity_of_units,research_status
10112,Arapaho Valley Ranch,Glamping Tent,Canvas Tent,3,published
10120,White Pines Campsites,Tents,Canvas Tent,10,published
10124,Twin Lakes Camp Resort,Glamping Tents,Canvas Tent,9,published
9698,Shawnee Hills Glamping,Glamping Tent,Canvas Tent,,published
10117,Royal Gorge Cabins,Tent,Canvas Tent,13,published
9591,Starlight Retreat Yellowstone,Canvas Tent,Canvas Tent,,published
10403,Westgate River Ranch Resort & Rodeo,Glamping,Canvas Tent,20,published
10223,Hilltop Resorts and Campground,Glamping Tent,Canvas Tent,4,published
10745,Elevated Escapes Glamping,Canvas Tents,Canvas Tent,3,published
9583,Tahuya Adventure Resort,Glamping Tent,Canvas Tent,,published
10212,Hemlock Falls,Tents,Canvas Tent,4,published
9660,Field Trip,Glamping Tent,Canvas Tent,,published
10746,Mount Engadine Lodge,Glamping Tents,Canvas Tent,5,published
9612,Heritage Ranch MT,Glamping Tent,Canvas Tent,,published
10164,Off Map Glamping,Deluxe Tent,Canvas Tent,5,published
10404,Little Raccoon Key,Luxury Tent,Canvas Tent,1,published
9592,River Dance Lodge,Glamping Tent,Canvas Tent,,published
10749,Glen Oro Farm,Explorer’s Tents,Canvas Tent,5,published
10405,Paws Up Montana,luxury tents,Canvas Tent,36,published
10670,Glamping Tent,Canvas Tent,Canvas Tent,8,published
10921,Pisgah Glamping at Lake Powhatan,Canvas Tent,Canvas Tent,12,published
10399,Alpenglow Luxury Camping,Glacier Glamping,Canvas Tent,3,published
10400,Alpenglow Luxury Camping,Glacier View Tents,Canvas Tent,3,published
10401,Alpenglow Luxury Camping,Mountain View Tents,Canvas Tent,4,published
10121,Coldwater Gardens,Glamping Tents,Canvas Tent,6,published
10747,Brown's Bay Resort,Glamping Tents,Canvas Tent,4,published
10750,The Northridge Inn & Resort,Glamping Tents,Canvas Tent,4,published
10748,Siwash Lake Wilderness Resort & Ranch,Star Gazer Luxury Tent,Canvas Tent,1,published
10933,Shell Camp Florida,Tent,Canvas Tent,,published
11614,Fronterra Farm,,Canvas Tent,,published
10247,Star Gazer Glamping Village,Tents,Canvas Tent,13,published
9672,Starlight Haven at Weiss Lake,Glamping Tent,Canvas Tent,,published
10407,Zion Wildflower Resort,Small Canvas/ Grand Mesa Tents,Canvas Tent,40,published
10113,Black Tree Resort,Tents,Canvas Tent,13,published
10408,Lakedale Resort,Glamping,Canvas Tent,23,published
10402,The River Electric,Tents,Canvas Tent,40,published
12917,Camp Wandawega,Hickory Tent,Canvas Tent,1,published
12920,Glamping Loft Lake Geneva,Main Street Loft (12 Tent Suites),Canvas Tent,12,published
9577,Log Cabin Wilderness Lodge,Glamping Tent,Canvas Tent,,published
9680,Eden Reserve,Glamping Tent,Canvas Tent,,published
9576,Camp McCarthy,Luxury Tent,Canvas Tent,,published
9588,Iliana's Glamping Village at Mike's Beach Resort,Glamping Tent,Canvas Tent,,published
9611,Yellowstone Dreamin Camp,Glamping Tent,Canvas Tent,12,published
9649,SaguaroGlamp,Glamping Tent,Canvas Tent,,published
9548,Evergreen Lodge,Glamping Tent,Canvas Tent,,published
9587,Pacific Dunes Resort,Glamping Tent,Canvas Tent,,published
9593,Linn Canyon Ranch,Glamping Tent,Canvas Tent,,published
9516,The Fields of Michigan,Tent,Canvas Tent,,published
9667,ReTreet Resort,Glamping Tent,Canvas Tent,,published
9682,The Whippoorwill's Nest Glamping Tent,Glamping Tent,Canvas Tent,,published
9580,Glacier View Adventures,Canvas Tent,Canvas Tent,,published
9614,Summer Star Ranch,Glamping Tent,Canvas Tent,,published
9632,Timberglow Getaway,Glamping Tent,Canvas Tent,,published
10189,Smoky Mountain Glamping,Tent,Canvas Tent,1,published
10229,Umpqua's Last Resort,Glamping Tent,Canvas Tent,4,published
9685,Lynnhurst Family Resort,Glamping Tent,Canvas Tent,,published
9694,The Wildflower Boutique Retreat,Glamping Tent,Canvas Tent,,published
10087,Grand Canyon Glamping Resort,Glamping Tent,Canvas Tent,5,published
9695,Sankoty Lakes,Glamping Tent,Canvas Tent,,published
10122,Home Field Advantage Farmstead,Glamping Tent,Canvas Tent,1,published
10110,The Sequoia High Sierra Camp,Tents,Canvas Tent,21,published
10222,Treetopia Campground,Glamping Tents,Canvas Tent,7,published
10140,Camp Aramoni,Tent,Canvas Tent,11,published
10186,Gorgeous Stays,Tents,Canvas Tent,3,published
10237,Buffalo Ridge Camp Resort,Canvas Tent,Canvas Tent,5,published
10210,Glamping at Woodstock Meadows,Tent,Canvas Tent,1,published
10230,Westcliff Lodge,Glamping Tent,Canvas Tent,,published
10235,Allen Ranch Campground,Glamping Tent,Canvas Tent,1,published
10276,Basecamp 37,Tent,Canvas Tent,5,published
10236,Bear Den Cabins & Camp,Glamping Tent,Canvas Tent,3,published
10267,Serana,Tent,Canvas Tent,2,published
12182,East Zion Resort,Glamping Tent,Canvas Tent,10,published
10696,Boulder Mountain Resort,Glamping Tents,Canvas Tent,2,published
12000,Rockdale Glamping Retreat,,Canvas Tent,,published
12002,Columbia Wetlands Glamping Resort,,Canvas Tent,,published
9513,Timberline Glamping at Pymatuning,Canvas Tent,Canvas Tent,8,published
9590,Skamania Lodge,Glamping Tent,Canvas Tent,,published
9623,The Fields of Michigan,Glamping Tent,Canvas Tent,,published
10949,Glacier Rock Wellness Rock Ranch,,Canvas Tent,2,published
10301,Zion Ponderosa Ranch Resort,Glamping Tents,Canvas Tent,2,published
10137,Aspen Grove Inn,Glamping Tents,Canvas Tent,2,published
10695,Sundance by Basecamp,Glamping Tents,Canvas Tent,1,published
12137,Mossquatch Resort,Canvas Glamping Tent #1,Canvas Tent,1,published
12891,Talaz,,Canvas Tent,53,published
10612,Son's Guadalupe,Glamping Tent,Canvas Tent,12,published
10608,Elk Lake Resort,Glamping Tent,Canvas Tent,6,published
10581,The Grove Glamping,Glamping Tents,Canvas Tent,5,published
10606,The Eco Camp,Tent,Canvas Tent,4,published
9613,Norwegian Wood Ranch,Glamping Tent,Canvas Tent,4,published
10787,Camp Woof Willow,Luxury Tent,Canvas Tent,3,published
10785,Stoco Lake Lodge,Glamping Tents,Canvas Tent,3,published
10625,Zion Glamping Adventures,Standard Glamping Tent,Canvas Tent,7,published
10614,Conestoga Ranch,Traditional Tent,Canvas Tent,15,published
