Priority,Keyword,Volume,KD%,CPC (USD),Intent,Content Type,Notes
Quick Win - HIGH,what is shore power,590,15,0.25,I,Glossary Term,Easy win, decent volume - glossary term
Quick Win - HIGH,how to start a glamping business,210,12,5.32,I,Guide,Low competition, HIGHEST commercial value ($5.32 CPC)
Quick Win - HIGH,glamping business plan template,90,7,0.00,C,Guide/Resource,Easiest KD (7%), guide opportunity
Quick Win - HIGH,how to buy an RV park,90,13,0.23,I,Guide,Low competition, commercial intent
Quick Win - HIGH,what is a bell tent,70,13,0.00,I C,Glossary Term,Glossary term, easy target
Quick Win - HIGH,RV park construction costs,70,14,0.00,I,Guide,Guide opportunity, low competition
Quick Win - HIGH,covered wagon glamping,50,11,0.23,C,Glossary Term,Easiest keyword (KD 11%), glossary term
Strategic Target - HIGH VOLUME,what is a yurt,6600,35,0.10,I,Glossary Term,Highest volume, moderate difficulty - Featured snippet target
Strategic Target - HIGH VOLUME,what is glamping,6600,48,0.20,I,Glossary Term,Highest volume, moderate-high difficulty - Core glossary term
Strategic Target - HIGH VOLUME,what is a feasibility study,1600,56,0.43,I,Glossary Term,High volume, harder but worth it - Core service term
Medium Priority,what is primitive camping,590,28,0.00,I,Glossary Term,Glossary term, easy target
Medium Priority,safari tent glamping,590,28,0.66,T,Glossary Term,Decent volume, low difficulty - Glossary term
Medium Priority,airstream glamping,320,23,0.82,N,Glossary Term,Glossary term, very easy (KD 23%)
Medium Priority,tipi glamping,260,35,0.55,C,Glossary Term,Glossary term
Medium Priority,canvas tent glamping,110,36,0.70,T,Glossary Term,Glossary term
Medium Priority,what is a tiny house,480,38,0.20,I,Glossary Term,Glossary term, good volume
Medium Priority,treehouse glamping,390,39,0.51,I C,Glossary Term,Glossary term, decent volume
Medium Priority,dome glamping,590,48,0.57,C,Glossary Term,Moderate volume, moderate difficulty
